id,type,difficulty,prompt,answer,unit,explanation
310,percentage,high,Four individual cans cost 168 pence in total. A 4-pack costs 134 pence. What percentage of the individual total is the pack price?,80,%,Percentage = pack ÷ individual total × 100.
311,percentage,high,Four individual cans cost 192 pence in total. A 4-pack costs 144 pence. What percentage of the individual total is the pack price?,75,%,Percentage = pack ÷ individual total × 100.
312,percentage,high,Four individual cans cost 192 pence in total. A 4-pack costs 144 pence. What percentage of the individual total is the pack price?,75,%,Percentage = pack ÷ individual total × 100.
313,percentage,high,Four individual cans cost 184 pence in total. A 4-pack costs 156 pence. What percentage of the individual total is the pack price?,85,%,Percentage = pack ÷ individual total × 100.
314,percentage,high,Four individual cans cost 224 pence in total. A 4-pack costs 179 pence. What percentage of the individual total is the pack price?,80,%,Percentage = pack ÷ individual total × 100.
315,percentage,high,Four individual cans cost 168 pence in total. A 4-pack costs 134 pence. What percentage of the individual total is the pack price?,80,%,Percentage = pack ÷ individual total × 100.
316,percentage,high,Four individual cans cost 224 pence in total. A 4-pack costs 201 pence. What percentage of the individual total is the pack price?,90,%,Percentage = pack ÷ individual total × 100.
317,percentage,high,Four individual cans cost 184 pence in total. A 4-pack costs 165 pence. What percentage of the individual total is the pack price?,90,%,Percentage = pack ÷ individual total × 100.
318,percentage,high,Four individual cans cost 176 pence in total. A 4-pack costs 149 pence. What percentage of the individual total is the pack price?,85,%,Percentage = pack ÷ individual total × 100.
319,percentage,high,Four individual cans cost 224 pence in total. A 4-pack costs 179 pence. What percentage of the individual total is the pack price?,80,%,Percentage = pack ÷ individual total × 100.
320,percentage,high,Four individual cans cost 168 pence in total. A 4-pack costs 151 pence. What percentage of the individual total is the pack price?,90,%,Percentage = pack ÷ individual total × 100.
321,percentage,high,Four individual cans cost 224 pence in total. A 4-pack costs 179 pence. What percentage of the individual total is the pack price?,80,%,Percentage = pack ÷ individual total × 100.
322,percentage,high,Four individual cans cost 208 pence in total. A 4-pack costs 156 pence. What percentage of the individual total is the pack price?,75,%,Percentage = pack ÷ individual total × 100.
323,percentage,high,Four individual cans cost 224 pence in total. A 4-pack costs 179 pence. What percentage of the individual total is the pack price?,80,%,Percentage = pack ÷ individual total × 100.
324,percentage,high,Four individual cans cost 168 pence in total. A 4-pack costs 126 pence. What percentage of the individual total is the pack price?,75,%,Percentage = pack ÷ individual total × 100.
325,percentage,high,Four individual cans cost 168 pence in total. A 4-pack costs 134 pence. What percentage of the individual total is the pack price?,80,%,Percentage = pack ÷ individual total × 100.
326,angle_turn,high,A person turns through 45 degrees. How many degrees is that?,45,degrees,Read off the turn.
327,angle_turn,high,A person turns through 90 degrees. How many degrees is that?,90,degrees,Read off the turn.
328,angle_turn,high,A person turns through 135 degrees. How many degrees is that?,135,degrees,Read off the turn.
329,angle_turn,high,A person turns through 180 degrees. How many degrees is that?,180,degrees,Read off the turn.
330,angle_turn,high,A person turns through 225 degrees. How many degrees is that?,225,degrees,Read off the turn.
331,angle_turn,high,A person turns through 270 degrees. How many degrees is that?,270,degrees,Read off the turn.
332,angle_turn,high,A person turns through 315 degrees. How many degrees is that?,315,degrees,Read off the turn.
333,angle_turn,high,A person turns through 45 degrees. How many degrees is that?,45,degrees,Read off the turn.
334,angle_turn,high,A person turns through 90 degrees. How many degrees is that?,90,degrees,Read off the turn.
335,angle_turn,high,A person turns through 135 degrees. How many degrees is that?,135,degrees,Read off the turn.
336,angle_turn,high,A person turns through 180 degrees. How many degrees is that?,180,degrees,Read off the turn.
337,angle_turn,high,A person turns through 225 degrees. How many degrees is that?,225,degrees,Read off the turn.
338,angle_turn,high,A person turns through 270 degrees. How many degrees is that?,270,degrees,Read off the turn.
339,angle_turn,high,A person turns through 315 degrees. How many degrees is that?,315,degrees,Read off the turn.
340,angle_turn,high,A person turns through 135 degrees. How many degrees is that?,135,degrees,Read off the turn.
341,sequence,high,"1, 8, 27, 64, 125, ... What is the next number?",216,,These are cube numbers.
342,sequence,high,"1, 8, 27, 64, 125, ... What is the next number?",216,,These are cube numbers.
343,sequence,high,"1, 8, 27, 64, 125, ... What is the next number?",216,,These are cube numbers.
344,sequence,high,"1, 8, 27, 64, 125, ... What is the next number?",216,,These are cube numbers.
345,sequence,high,"1, 8, 27, 64, 125, ... What is the next number?",216,,These are cube numbers.
346,sequence,high,"1, 8, 27, 64, 125, ... What is the next number?",216,,These are cube numbers.
347,sequence,high,"1, 8, 27, 64, 125, ... What is the next number?",216,,These are cube numbers.
348,sequence,high,"1, 8, 27, 64, 125, ... What is the next number?",216,,These are cube numbers.
349,sequence,high,"1, 8, 27, 64, 125, ... What is the next number?",216,,These are cube numbers.
350,sequence,high,"1, 8, 27, 64, 125, ... What is the next number?",216,,These are cube numbers.
351,sequence,high,"1, 8, 27, 64, 125, ... What is the next number?",216,,These are cube numbers.
352,sequence,high,"1, 8, 27, 64, 125, ... What is the next number?",216,,These are cube numbers.
353,sequence,high,"1, 8, 27, 64, 125, ... What is the next number?",216,,These are cube numbers.
354,sequence,high,"1, 8, 27, 64, 125, ... What is the next number?",216,,These are cube numbers.
355,sequence,high,"1, 8, 27, 64, 125, ... What is the next number?",216,,These are cube numbers.
356,equation_balance,high,79 − 21 = 7 × ? + 2,8,,"Subtract 2, then divide by 7."
357,equation_balance,high,86 − 21 = 7 × ? + 2,9,,"Subtract 2, then divide by 7."
358,equation_balance,high,93 − 21 = 7 × ? + 2,10,,"Subtract 2, then divide by 7."
359,equation_balance,high,100 − 21 = 7 × ? + 2,11,,"Subtract 2, then divide by 7."
360,equation_balance,high,107 − 21 = 7 × ? + 2,12,,"Subtract 2, then divide by 7."
361,equation_balance,high,114 − 21 = 7 × ? + 2,13,,"Subtract 2, then divide by 7."
362,equation_balance,high,79 − 21 = 7 × ? + 2,8,,"Subtract 2, then divide by 7."
363,equation_balance,high,86 − 21 = 7 × ? + 2,9,,"Subtract 2, then divide by 7."
364,equation_balance,high,93 − 21 = 7 × ? + 2,10,,"Subtract 2, then divide by 7."
365,equation_balance,high,100 − 21 = 7 × ? + 2,11,,"Subtract 2, then divide by 7."
366,equation_balance,high,107 − 21 = 7 × ? + 2,12,,"Subtract 2, then divide by 7."
367,equation_balance,high,114 − 21 = 7 × ? + 2,13,,"Subtract 2, then divide by 7."
368,equation_balance,high,79 − 21 = 7 × ? + 2,8,,"Subtract 2, then divide by 7."
369,equation_balance,high,86 − 21 = 7 × ? + 2,9,,"Subtract 2, then divide by 7."
370,equation_balance,high,93 − 21 = 7 × ? + 2,10,,"Subtract 2, then divide by 7."
371,geometry,high,3x + 2x + 90 = 240. What is x?,30,,Solve 5x + 90 = total.
372,geometry,high,3x + 2x + 90 = 195. What is x?,21,,Solve 5x + 90 = total.
373,geometry,high,3x + 2x + 90 = 290. What is x?,40,,Solve 5x + 90 = total.
374,geometry,high,3x + 2x + 90 = 155. What is x?,13,,Solve 5x + 90 = total.
375,geometry,high,3x + 2x + 90 = 200. What is x?,22,,Solve 5x + 90 = total.
376,geometry,high,3x + 2x + 90 = 270. What is x?,36,,Solve 5x + 90 = total.
377,geometry,high,3x + 2x + 90 = 210. What is x?,24,,Solve 5x + 90 = total.
378,geometry,high,3x + 2x + 90 = 225. What is x?,27,,Solve 5x + 90 = total.
379,geometry,high,3x + 2x + 90 = 145. What is x?,11,,Solve 5x + 90 = total.
380,geometry,high,3x + 2x + 90 = 240. What is x?,30,,Solve 5x + 90 = total.
381,geometry,high,3x + 2x + 90 = 140. What is x?,10,,Solve 5x + 90 = total.
382,geometry,high,3x + 2x + 90 = 240. What is x?,30,,Solve 5x + 90 = total.
383,geometry,high,3x + 2x + 90 = 225. What is x?,27,,Solve 5x + 90 = total.
384,geometry,high,3x + 2x + 90 = 245. What is x?,31,,Solve 5x + 90 = total.
385,geometry,high,3x + 2x + 90 = 175. What is x?,17,,Solve 5x + 90 = total.
386,logic,high,X is an odd multiple of 9 and 70 < X < 99. What is X?,81,,Only 81 fits.
387,logic,high,X is an odd multiple of 9 and 70 < X < 99. What is X?,81,,Only 81 fits.
388,logic,high,X is an odd multiple of 9 and 70 < X < 99. What is X?,81,,Only 81 fits.
389,logic,high,X is an odd multiple of 9 and 70 < X < 99. What is X?,81,,Only 81 fits.
390,logic,high,X is an odd multiple of 9 and 70 < X < 99. What is X?,81,,Only 81 fits.
391,logic,high,X is an odd multiple of 9 and 70 < X < 99. What is X?,81,,Only 81 fits.
392,logic,high,X is an odd multiple of 9 and 70 < X < 99. What is X?,81,,Only 81 fits.
393,logic,high,X is an odd multiple of 9 and 70 < X < 99. What is X?,81,,Only 81 fits.
394,logic,high,X is an odd multiple of 9 and 70 < X < 99. What is X?,81,,Only 81 fits.
395,logic,high,X is an odd multiple of 9 and 70 < X < 99. What is X?,81,,Only 81 fits.
396,logic,high,X is an odd multiple of 9 and 70 < X < 99. What is X?,81,,Only 81 fits.
397,logic,high,X is an odd multiple of 9 and 70 < X < 99. What is X?,81,,Only 81 fits.
398,logic,high,X is an odd multiple of 9 and 70 < X < 99. What is X?,81,,Only 81 fits.
399,logic,high,X is an odd multiple of 9 and 70 < X < 99. What is X?,81,,Only 81 fits.
400,logic,high,X is an odd multiple of 9 and 70 < X < 99. What is X?,81,,Only 81 fits.
