id,difficulty,answer,clue,prompt,start_letters,explanation
267,medium,FAMOUS,well known,RENOWNED,6,FAMOUS from RENOWNED. Both mean well known.
268,medium,GATHER,to bring together,COLLECT,6,GATHER from COLLECT. Both mean assemble.
269,medium,HONEST,truthful and genuine,SINCERE,6,HONEST from SINCERE. Both mean truthful.
270,medium,IGNORE,to pay no attention to,NEGLECT,6,IGNORE from NEGLECT. Both mean disregard.
271,medium,ABUNDANT,in large quantity,PLENTIFUL,8,ABUNDANT from PLENTIFUL. Both mean plentiful.
272,medium,ANCIENT,very old or outdated,ARCHAIC,7,ANCIENT from ARCHAIC. Both mean old.
273,medium,BRIEF,short and clear,CONCISE,5,BRIEF from CONCISE. Both mean short.
274,medium,CALM,peaceful and untroubled,SERENE,4,CALM from SERENE. Both mean peaceful.
275,medium,DAMAGE,to weaken or harm,IMPAIR,6,DAMAGE from IMPAIR. Both mean harm.
276,medium,EAGER,very willing,KEEN,5,EAGER from KEEN. Both mean enthusiastic.
277,medium,FAMOUS,well known,RENOWNED,6,FAMOUS from RENOWNED. Both mean well known.
278,medium,GATHER,to bring together,COLLECT,6,GATHER from COLLECT. Both mean assemble.
279,medium,HONEST,truthful and genuine,SINCERE,6,HONEST from SINCERE. Both mean truthful.
280,medium,IGNORE,to pay no attention to,NEGLECT,6,IGNORE from NEGLECT. Both mean disregard.
281,medium,ABUNDANT,in large quantity,PLENTIFUL,8,ABUNDANT from PLENTIFUL. Both mean plentiful.
282,medium,ANCIENT,very old or outdated,ARCHAIC,7,ANCIENT from ARCHAIC. Both mean old.
283,medium,BRIEF,short and clear,CONCISE,5,BRIEF from CONCISE. Both mean short.
284,medium,CALM,peaceful and untroubled,SERENE,4,CALM from SERENE. Both mean peaceful.
285,medium,DAMAGE,to weaken or harm,IMPAIR,6,DAMAGE from IMPAIR. Both mean harm.
286,medium,EAGER,very willing,KEEN,5,EAGER from KEEN. Both mean enthusiastic.
287,medium,FAMOUS,well known,RENOWNED,6,FAMOUS from RENOWNED. Both mean well known.
288,medium,GATHER,to bring together,COLLECT,6,GATHER from COLLECT. Both mean assemble.
289,medium,HONEST,truthful and genuine,SINCERE,6,HONEST from SINCERE. Both mean truthful.
290,medium,IGNORE,to pay no attention to,NEGLECT,6,IGNORE from NEGLECT. Both mean disregard.
291,medium,ABUNDANT,in large quantity,PLENTIFUL,8,ABUNDANT from PLENTIFUL. Both mean plentiful.
292,medium,ANCIENT,very old or outdated,ARCHAIC,7,ANCIENT from ARCHAIC. Both mean old.
293,medium,BRIEF,short and clear,CONCISE,5,BRIEF from CONCISE. Both mean short.
294,medium,CALM,peaceful and untroubled,SERENE,4,CALM from SERENE. Both mean peaceful.
295,medium,DAMAGE,to weaken or harm,IMPAIR,6,DAMAGE from IMPAIR. Both mean harm.
296,medium,EAGER,very willing,KEEN,5,EAGER from KEEN. Both mean enthusiastic.
297,medium,FAMOUS,well known,RENOWNED,6,FAMOUS from RENOWNED. Both mean well known.
298,medium,GATHER,to bring together,COLLECT,6,GATHER from COLLECT. Both mean assemble.
299,medium,HONEST,truthful and genuine,SINCERE,6,HONEST from SINCERE. Both mean truthful.
300,medium,IGNORE,to pay no attention to,NEGLECT,6,IGNORE from NEGLECT. Both mean disregard.
301,medium,ABUNDANT,in large quantity,PLENTIFUL,8,ABUNDANT from PLENTIFUL. Both mean plentiful.
302,medium,ANCIENT,very old or outdated,ARCHAIC,7,ANCIENT from ARCHAIC. Both mean old.
303,medium,BRIEF,short and clear,CONCISE,5,BRIEF from CONCISE. Both mean short.
304,medium,CALM,peaceful and untroubled,SERENE,4,CALM from SERENE. Both mean peaceful.
305,medium,DAMAGE,to weaken or harm,IMPAIR,6,DAMAGE from IMPAIR. Both mean harm.
306,medium,EAGER,very willing,KEEN,5,EAGER from KEEN. Both mean enthusiastic.
307,medium,FAMOUS,well known,RENOWNED,6,FAMOUS from RENOWNED. Both mean well known.
308,medium,GATHER,to bring together,COLLECT,6,GATHER from COLLECT. Both mean assemble.
309,medium,HONEST,truthful and genuine,SINCERE,6,HONEST from SINCERE. Both mean truthful.
310,medium,IGNORE,to pay no attention to,NEGLECT,6,IGNORE from NEGLECT. Both mean disregard.
311,medium,ABUNDANT,in large quantity,PLENTIFUL,8,ABUNDANT from PLENTIFUL. Both mean plentiful.
312,medium,ANCIENT,very old or outdated,ARCHAIC,7,ANCIENT from ARCHAIC. Both mean old.
313,medium,BRIEF,short and clear,CONCISE,5,BRIEF from CONCISE. Both mean short.
314,medium,CALM,peaceful and untroubled,SERENE,4,CALM from SERENE. Both mean peaceful.
315,medium,DAMAGE,to weaken or harm,IMPAIR,6,DAMAGE from IMPAIR. Both mean harm.
316,medium,EAGER,very willing,KEEN,5,EAGER from KEEN. Both mean enthusiastic.
317,medium,FAMOUS,well known,RENOWNED,6,FAMOUS from RENOWNED. Both mean well known.
318,medium,GATHER,to bring together,COLLECT,6,GATHER from COLLECT. Both mean assemble.
319,medium,HONEST,truthful and genuine,SINCERE,6,HONEST from SINCERE. Both mean truthful.
320,medium,IGNORE,to pay no attention to,NEGLECT,6,IGNORE from NEGLECT. Both mean disregard.
321,medium,ABUNDANT,in large quantity,PLENTIFUL,8,ABUNDANT from PLENTIFUL. Both mean plentiful.
322,medium,ANCIENT,very old or outdated,ARCHAIC,7,ANCIENT from ARCHAIC. Both mean old.
323,medium,BRIEF,short and clear,CONCISE,5,BRIEF from CONCISE. Both mean short.
324,medium,CALM,peaceful and untroubled,SERENE,4,CALM from SERENE. Both mean peaceful.
325,medium,DAMAGE,to weaken or harm,IMPAIR,6,DAMAGE from IMPAIR. Both mean harm.
326,medium,EAGER,very willing,KEEN,5,EAGER from KEEN. Both mean enthusiastic.
327,medium,FAMOUS,well known,RENOWNED,6,FAMOUS from RENOWNED. Both mean well known.
328,medium,GATHER,to bring together,COLLECT,6,GATHER from COLLECT. Both mean assemble.
329,medium,HONEST,truthful and genuine,SINCERE,6,HONEST from SINCERE. Both mean truthful.
330,medium,IGNORE,to pay no attention to,NEGLECT,6,IGNORE from NEGLECT. Both mean disregard.
331,medium,ABUNDANT,in large quantity,PLENTIFUL,8,ABUNDANT from PLENTIFUL. Both mean plentiful.
332,medium,ANCIENT,very old or outdated,ARCHAIC,7,ANCIENT from ARCHAIC. Both mean old.
333,medium,BRIEF,short and clear,CONCISE,5,BRIEF from CONCISE. Both mean short.
334,medium,CALM,peaceful and untroubled,SERENE,4,CALM from SERENE. Both mean peaceful.
335,medium,DAMAGE,to weaken or harm,IMPAIR,6,DAMAGE from IMPAIR. Both mean harm.
336,medium,EAGER,very willing,KEEN,5,EAGER from KEEN. Both mean enthusiastic.
337,medium,FAMOUS,well known,RENOWNED,6,FAMOUS from RENOWNED. Both mean well known.
338,medium,GATHER,to bring together,COLLECT,6,GATHER from COLLECT. Both mean assemble.
339,medium,HONEST,truthful and genuine,SINCERE,6,HONEST from SINCERE. Both mean truthful.
340,medium,IGNORE,to pay no attention to,NEGLECT,6,IGNORE from NEGLECT. Both mean disregard.
341,medium,ABUNDANT,in large quantity,PLENTIFUL,8,ABUNDANT from PLENTIFUL. Both mean plentiful.
342,medium,ANCIENT,very old or outdated,ARCHAIC,7,ANCIENT from ARCHAIC. Both mean old.
343,medium,BRIEF,short and clear,CONCISE,5,BRIEF from CONCISE. Both mean short.
344,medium,CALM,peaceful and untroubled,SERENE,4,CALM from SERENE. Both mean peaceful.
345,medium,DAMAGE,to weaken or harm,IMPAIR,6,DAMAGE from IMPAIR. Both mean harm.
346,medium,EAGER,very willing,KEEN,5,EAGER from KEEN. Both mean enthusiastic.
347,medium,FAMOUS,well known,RENOWNED,6,FAMOUS from RENOWNED. Both mean well known.
348,medium,GATHER,to bring together,COLLECT,6,GATHER from COLLECT. Both mean assemble.
349,medium,HONEST,truthful and genuine,SINCERE,6,HONEST from SINCERE. Both mean truthful.
350,medium,IGNORE,to pay no attention to,NEGLECT,6,IGNORE from NEGLECT. Both mean disregard.
351,medium,ABUNDANT,in large quantity,PLENTIFUL,8,ABUNDANT from PLENTIFUL. Both mean plentiful.
352,medium,ANCIENT,very old or outdated,ARCHAIC,7,ANCIENT from ARCHAIC. Both mean old.
353,medium,BRIEF,short and clear,CONCISE,5,BRIEF from CONCISE. Both mean short.
354,medium,CALM,peaceful and untroubled,SERENE,4,CALM from SERENE. Both mean peaceful.
355,medium,DAMAGE,to weaken or harm,IMPAIR,6,DAMAGE from IMPAIR. Both mean harm.
356,medium,EAGER,very willing,KEEN,5,EAGER from KEEN. Both mean enthusiastic.
357,medium,FAMOUS,well known,RENOWNED,6,FAMOUS from RENOWNED. Both mean well known.
358,medium,GATHER,to bring together,COLLECT,6,GATHER from COLLECT. Both mean assemble.
359,medium,HONEST,truthful and genuine,SINCERE,6,HONEST from SINCERE. Both mean truthful.
360,medium,IGNORE,to pay no attention to,NEGLECT,6,IGNORE from NEGLECT. Both mean disregard.
361,medium,ABUNDANT,in large quantity,PLENTIFUL,8,ABUNDANT from PLENTIFUL. Both mean plentiful.
362,medium,ANCIENT,very old or outdated,ARCHAIC,7,ANCIENT from ARCHAIC. Both mean old.
363,medium,BRIEF,short and clear,CONCISE,5,BRIEF from CONCISE. Both mean short.
364,medium,CALM,peaceful and untroubled,SERENE,4,CALM from SERENE. Both mean peaceful.
365,medium,DAMAGE,to weaken or harm,IMPAIR,6,DAMAGE from IMPAIR. Both mean harm.
366,medium,EAGER,very willing,KEEN,5,EAGER from KEEN. Both mean enthusiastic.
367,medium,FAMOUS,well known,RENOWNED,6,FAMOUS from RENOWNED. Both mean well known.
368,medium,GATHER,to bring together,COLLECT,6,GATHER from COLLECT. Both mean assemble.
369,medium,HONEST,truthful and genuine,SINCERE,6,HONEST from SINCERE. Both mean truthful.
370,medium,IGNORE,to pay no attention to,NEGLECT,6,IGNORE from NEGLECT. Both mean disregard.
371,medium,ABUNDANT,in large quantity,PLENTIFUL,8,ABUNDANT from PLENTIFUL. Both mean plentiful.
372,medium,ANCIENT,very old or outdated,ARCHAIC,7,ANCIENT from ARCHAIC. Both mean old.
373,medium,BRIEF,short and clear,CONCISE,5,BRIEF from CONCISE. Both mean short.
374,medium,CALM,peaceful and untroubled,SERENE,4,CALM from SERENE. Both mean peaceful.
375,medium,DAMAGE,to weaken or harm,IMPAIR,6,DAMAGE from IMPAIR. Both mean harm.
376,medium,EAGER,very willing,KEEN,5,EAGER from KEEN. Both mean enthusiastic.
377,medium,FAMOUS,well known,RENOWNED,6,FAMOUS from RENOWNED. Both mean well known.
378,medium,GATHER,to bring together,COLLECT,6,GATHER from COLLECT. Both mean assemble.
379,medium,HONEST,truthful and genuine,SINCERE,6,HONEST from SINCERE. Both mean truthful.
380,medium,IGNORE,to pay no attention to,NEGLECT,6,IGNORE from NEGLECT. Both mean disregard.
381,medium,ABUNDANT,in large quantity,PLENTIFUL,8,ABUNDANT from PLENTIFUL. Both mean plentiful.
382,medium,ANCIENT,very old or outdated,ARCHAIC,7,ANCIENT from ARCHAIC. Both mean old.
383,medium,BRIEF,short and clear,CONCISE,5,BRIEF from CONCISE. Both mean short.
384,medium,CALM,peaceful and untroubled,SERENE,4,CALM from SERENE. Both mean peaceful.
385,medium,DAMAGE,to weaken or harm,IMPAIR,6,DAMAGE from IMPAIR. Both mean harm.
386,medium,EAGER,very willing,KEEN,5,EAGER from KEEN. Both mean enthusiastic.
387,medium,FAMOUS,well known,RENOWNED,6,FAMOUS from RENOWNED. Both mean well known.
388,medium,GATHER,to bring together,COLLECT,6,GATHER from COLLECT. Both mean assemble.
389,medium,HONEST,truthful and genuine,SINCERE,6,HONEST from SINCERE. Both mean truthful.
390,medium,IGNORE,to pay no attention to,NEGLECT,6,IGNORE from NEGLECT. Both mean disregard.
391,medium,ABUNDANT,in large quantity,PLENTIFUL,8,ABUNDANT from PLENTIFUL. Both mean plentiful.
392,medium,ANCIENT,very old or outdated,ARCHAIC,7,ANCIENT from ARCHAIC. Both mean old.
393,medium,BRIEF,short and clear,CONCISE,5,BRIEF from CONCISE. Both mean short.
394,medium,CALM,peaceful and untroubled,SERENE,4,CALM from SERENE. Both mean peaceful.
395,medium,DAMAGE,to weaken or harm,IMPAIR,6,DAMAGE from IMPAIR. Both mean harm.
396,medium,EAGER,very willing,KEEN,5,EAGER from KEEN. Both mean enthusiastic.
397,medium,FAMOUS,well known,RENOWNED,6,FAMOUS from RENOWNED. Both mean well known.
398,medium,GATHER,to bring together,COLLECT,6,GATHER from COLLECT. Both mean assemble.
399,medium,HONEST,truthful and genuine,SINCERE,6,HONEST from SINCERE. Both mean truthful.
400,medium,IGNORE,to pay no attention to,NEGLECT,6,IGNORE from NEGLECT. Both mean disregard.
401,hard,ABSTRUSE,hard to understand,OBSCURE,8,ABSTRUSE from OBSCURE. Both mean difficult to understand.
402,hard,BELLICOSE,aggressive or warlike,WARLIKE,9,BELLICOSE from WARLIKE. Both mean aggressive.
403,hard,CAPRICIOUS,changing suddenly,FICKLE,10,CAPRICIOUS from FICKLE. Both mean unpredictable.
404,hard,DELETERIOUS,causing damage,HARMFUL,11,DELETERIOUS from HARMFUL. Both mean damaging.
405,hard,ENERVATE,to drain strength,WEAKEN,8,ENERVATE from WEAKEN. Both mean weaken.
406,hard,FASTIDIOUS,very attentive to detail,METICULOUS,10,FASTIDIOUS from METICULOUS. Both mean careful.
407,hard,GREGARIOUS,fond of company,SOCIABLE,10,GREGARIOUS from SOCIABLE. Both mean outgoing.
408,hard,HACKNEYED,overused and dull,TRITE,9,HACKNEYED from TRITE. Both mean unoriginal.
409,hard,LACONIC,using few words,TERSE,7,LACONIC from TERSE. Both mean brief in speech.
410,hard,PARSIMONIOUS,unwilling to spend,STINGY,12,PARSIMONIOUS from STINGY. Both mean miserly.
411,hard,ABSTRUSE,hard to understand,OBSCURE,8,ABSTRUSE from OBSCURE. Both mean difficult to understand.
412,hard,BELLICOSE,aggressive or warlike,WARLIKE,9,BELLICOSE from WARLIKE. Both mean aggressive.
413,hard,CAPRICIOUS,changing suddenly,FICKLE,10,CAPRICIOUS from FICKLE. Both mean unpredictable.
414,hard,DELETERIOUS,causing damage,HARMFUL,11,DELETERIOUS from HARMFUL. Both mean damaging.
415,hard,ENERVATE,to drain strength,WEAKEN,8,ENERVATE from WEAKEN. Both mean weaken.
416,hard,FASTIDIOUS,very attentive to detail,METICULOUS,10,FASTIDIOUS from METICULOUS. Both mean careful.
417,hard,GREGARIOUS,fond of company,SOCIABLE,10,GREGARIOUS from SOCIABLE. Both mean outgoing.
418,hard,HACKNEYED,overused and dull,TRITE,9,HACKNEYED from TRITE. Both mean unoriginal.
419,hard,LACONIC,using few words,TERSE,7,LACONIC from TERSE. Both mean brief in speech.
420,hard,PARSIMONIOUS,unwilling to spend,STINGY,12,PARSIMONIOUS from STINGY. Both mean miserly.
421,hard,ABSTRUSE,hard to understand,OBSCURE,8,ABSTRUSE from OBSCURE. Both mean difficult to understand.
422,hard,BELLICOSE,aggressive or warlike,WARLIKE,9,BELLICOSE from WARLIKE. Both mean aggressive.
423,hard,CAPRICIOUS,changing suddenly,FICKLE,10,CAPRICIOUS from FICKLE. Both mean unpredictable.
424,hard,DELETERIOUS,causing damage,HARMFUL,11,DELETERIOUS from HARMFUL. Both mean damaging.
425,hard,ENERVATE,to drain strength,WEAKEN,8,ENERVATE from WEAKEN. Both mean weaken.
426,hard,FASTIDIOUS,very attentive to detail,METICULOUS,10,FASTIDIOUS from METICULOUS. Both mean careful.
427,hard,GREGARIOUS,fond of company,SOCIABLE,10,GREGARIOUS from SOCIABLE. Both mean outgoing.
428,hard,HACKNEYED,overused and dull,TRITE,9,HACKNEYED from TRITE. Both mean unoriginal.
429,hard,LACONIC,using few words,TERSE,7,LACONIC from TERSE. Both mean brief in speech.
430,hard,PARSIMONIOUS,unwilling to spend,STINGY,12,PARSIMONIOUS from STINGY. Both mean miserly.
431,hard,ABSTRUSE,hard to understand,OBSCURE,8,ABSTRUSE from OBSCURE. Both mean difficult to understand.
432,hard,BELLICOSE,aggressive or warlike,WARLIKE,9,BELLICOSE from WARLIKE. Both mean aggressive.
433,hard,CAPRICIOUS,changing suddenly,FICKLE,10,CAPRICIOUS from FICKLE. Both mean unpredictable.
434,hard,DELETERIOUS,causing damage,HARMFUL,11,DELETERIOUS from HARMFUL. Both mean damaging.
435,hard,ENERVATE,to drain strength,WEAKEN,8,ENERVATE from WEAKEN. Both mean weaken.
436,hard,FASTIDIOUS,very attentive to detail,METICULOUS,10,FASTIDIOUS from METICULOUS. Both mean careful.
437,hard,GREGARIOUS,fond of company,SOCIABLE,10,GREGARIOUS from SOCIABLE. Both mean outgoing.
438,hard,HACKNEYED,overused and dull,TRITE,9,HACKNEYED from TRITE. Both mean unoriginal.
439,hard,LACONIC,using few words,TERSE,7,LACONIC from TERSE. Both mean brief in speech.
440,hard,PARSIMONIOUS,unwilling to spend,STINGY,12,PARSIMONIOUS from STINGY. Both mean miserly.
441,hard,ABSTRUSE,hard to understand,OBSCURE,8,ABSTRUSE from OBSCURE. Both mean difficult to understand.
442,hard,BELLICOSE,aggressive or warlike,WARLIKE,9,BELLICOSE from WARLIKE. Both mean aggressive.
443,hard,CAPRICIOUS,changing suddenly,FICKLE,10,CAPRICIOUS from FICKLE. Both mean unpredictable.
444,hard,DELETERIOUS,causing damage,HARMFUL,11,DELETERIOUS from HARMFUL. Both mean damaging.
445,hard,ENERVATE,to drain strength,WEAKEN,8,ENERVATE from WEAKEN. Both mean weaken.
446,hard,FASTIDIOUS,very attentive to detail,METICULOUS,10,FASTIDIOUS from METICULOUS. Both mean careful.
447,hard,GREGARIOUS,fond of company,SOCIABLE,10,GREGARIOUS from SOCIABLE. Both mean outgoing.
448,hard,HACKNEYED,overused and dull,TRITE,9,HACKNEYED from TRITE. Both mean unoriginal.
449,hard,LACONIC,using few words,TERSE,7,LACONIC from TERSE. Both mean brief in speech.
450,hard,PARSIMONIOUS,unwilling to spend,STINGY,12,PARSIMONIOUS from STINGY. Both mean miserly.
451,hard,ABSTRUSE,hard to understand,OBSCURE,8,ABSTRUSE from OBSCURE. Both mean difficult to understand.
452,hard,BELLICOSE,aggressive or warlike,WARLIKE,9,BELLICOSE from WARLIKE. Both mean aggressive.
453,hard,CAPRICIOUS,changing suddenly,FICKLE,10,CAPRICIOUS from FICKLE. Both mean unpredictable.
454,hard,DELETERIOUS,causing damage,HARMFUL,11,DELETERIOUS from HARMFUL. Both mean damaging.
455,hard,ENERVATE,to drain strength,WEAKEN,8,ENERVATE from WEAKEN. Both mean weaken.
456,hard,FASTIDIOUS,very attentive to detail,METICULOUS,10,FASTIDIOUS from METICULOUS. Both mean careful.
457,hard,GREGARIOUS,fond of company,SOCIABLE,10,GREGARIOUS from SOCIABLE. Both mean outgoing.
458,hard,HACKNEYED,overused and dull,TRITE,9,HACKNEYED from TRITE. Both mean unoriginal.
459,hard,LACONIC,using few words,TERSE,7,LACONIC from TERSE. Both mean brief in speech.
460,hard,PARSIMONIOUS,unwilling to spend,STINGY,12,PARSIMONIOUS from STINGY. Both mean miserly.
461,hard,ABSTRUSE,hard to understand,OBSCURE,8,ABSTRUSE from OBSCURE. Both mean difficult to understand.
462,hard,BELLICOSE,aggressive or warlike,WARLIKE,9,BELLICOSE from WARLIKE. Both mean aggressive.
463,hard,CAPRICIOUS,changing suddenly,FICKLE,10,CAPRICIOUS from FICKLE. Both mean unpredictable.
464,hard,DELETERIOUS,causing damage,HARMFUL,11,DELETERIOUS from HARMFUL. Both mean damaging.
465,hard,ENERVATE,to drain strength,WEAKEN,8,ENERVATE from WEAKEN. Both mean weaken.
466,hard,FASTIDIOUS,very attentive to detail,METICULOUS,10,FASTIDIOUS from METICULOUS. Both mean careful.
467,hard,GREGARIOUS,fond of company,SOCIABLE,10,GREGARIOUS from SOCIABLE. Both mean outgoing.
468,hard,HACKNEYED,overused and dull,TRITE,9,HACKNEYED from TRITE. Both mean unoriginal.
469,hard,LACONIC,using few words,TERSE,7,LACONIC from TERSE. Both mean brief in speech.
470,hard,PARSIMONIOUS,unwilling to spend,STINGY,12,PARSIMONIOUS from STINGY. Both mean miserly.
471,hard,ABSTRUSE,hard to understand,OBSCURE,8,ABSTRUSE from OBSCURE. Both mean difficult to understand.
472,hard,BELLICOSE,aggressive or warlike,WARLIKE,9,BELLICOSE from WARLIKE. Both mean aggressive.
473,hard,CAPRICIOUS,changing suddenly,FICKLE,10,CAPRICIOUS from FICKLE. Both mean unpredictable.
474,hard,DELETERIOUS,causing damage,HARMFUL,11,DELETERIOUS from HARMFUL. Both mean damaging.
475,hard,ENERVATE,to drain strength,WEAKEN,8,ENERVATE from WEAKEN. Both mean weaken.
476,hard,FASTIDIOUS,very attentive to detail,METICULOUS,10,FASTIDIOUS from METICULOUS. Both mean careful.
477,hard,GREGARIOUS,fond of company,SOCIABLE,10,GREGARIOUS from SOCIABLE. Both mean outgoing.
478,hard,HACKNEYED,overused and dull,TRITE,9,HACKNEYED from TRITE. Both mean unoriginal.
479,hard,LACONIC,using few words,TERSE,7,LACONIC from TERSE. Both mean brief in speech.
480,hard,PARSIMONIOUS,unwilling to spend,STINGY,12,PARSIMONIOUS from STINGY. Both mean miserly.
481,hard,ABSTRUSE,hard to understand,OBSCURE,8,ABSTRUSE from OBSCURE. Both mean difficult to understand.
482,hard,BELLICOSE,aggressive or warlike,WARLIKE,9,BELLICOSE from WARLIKE. Both mean aggressive.
483,hard,CAPRICIOUS,changing suddenly,FICKLE,10,CAPRICIOUS from FICKLE. Both mean unpredictable.
484,hard,DELETERIOUS,causing damage,HARMFUL,11,DELETERIOUS from HARMFUL. Both mean damaging.
485,hard,ENERVATE,to drain strength,WEAKEN,8,ENERVATE from WEAKEN. Both mean weaken.
486,hard,FASTIDIOUS,very attentive to detail,METICULOUS,10,FASTIDIOUS from METICULOUS. Both mean careful.
487,hard,GREGARIOUS,fond of company,SOCIABLE,10,GREGARIOUS from SOCIABLE. Both mean outgoing.
488,hard,HACKNEYED,overused and dull,TRITE,9,HACKNEYED from TRITE. Both mean unoriginal.
489,hard,LACONIC,using few words,TERSE,7,LACONIC from TERSE. Both mean brief in speech.
490,hard,PARSIMONIOUS,unwilling to spend,STINGY,12,PARSIMONIOUS from STINGY. Both mean miserly.
491,hard,ABSTRUSE,hard to understand,OBSCURE,8,ABSTRUSE from OBSCURE. Both mean difficult to understand.
492,hard,BELLICOSE,aggressive or warlike,WARLIKE,9,BELLICOSE from WARLIKE. Both mean aggressive.
493,hard,CAPRICIOUS,changing suddenly,FICKLE,10,CAPRICIOUS from FICKLE. Both mean unpredictable.
494,hard,DELETERIOUS,causing damage,HARMFUL,11,DELETERIOUS from HARMFUL. Both mean damaging.
495,hard,ENERVATE,to drain strength,WEAKEN,8,ENERVATE from WEAKEN. Both mean weaken.
496,hard,FASTIDIOUS,very attentive to detail,METICULOUS,10,FASTIDIOUS from METICULOUS. Both mean careful.
497,hard,GREGARIOUS,fond of company,SOCIABLE,10,GREGARIOUS from SOCIABLE. Both mean outgoing.
498,hard,HACKNEYED,overused and dull,TRITE,9,HACKNEYED from TRITE. Both mean unoriginal.
499,hard,LACONIC,using few words,TERSE,7,LACONIC from TERSE. Both mean brief in speech.
500,hard,PARSIMONIOUS,unwilling to spend,STINGY,12,PARSIMONIOUS from STINGY. Both mean miserly.
501,hard,ABSTRUSE,hard to understand,OBSCURE,8,ABSTRUSE from OBSCURE. Both mean difficult to understand.
502,hard,BELLICOSE,aggressive or warlike,WARLIKE,9,BELLICOSE from WARLIKE. Both mean aggressive.
503,hard,CAPRICIOUS,changing suddenly,FICKLE,10,CAPRICIOUS from FICKLE. Both mean unpredictable.
504,hard,DELETERIOUS,causing damage,HARMFUL,11,DELETERIOUS from HARMFUL. Both mean damaging.
505,hard,ENERVATE,to drain strength,WEAKEN,8,ENERVATE from WEAKEN. Both mean weaken.
506,hard,FASTIDIOUS,very attentive to detail,METICULOUS,10,FASTIDIOUS from METICULOUS. Both mean careful.
507,hard,GREGARIOUS,fond of company,SOCIABLE,10,GREGARIOUS from SOCIABLE. Both mean outgoing.
508,hard,HACKNEYED,overused and dull,TRITE,9,HACKNEYED from TRITE. Both mean unoriginal.
509,hard,LACONIC,using few words,TERSE,7,LACONIC from TERSE. Both mean brief in speech.
510,hard,PARSIMONIOUS,unwilling to spend,STINGY,12,PARSIMONIOUS from STINGY. Both mean miserly.
511,hard,ABSTRUSE,hard to understand,OBSCURE,8,ABSTRUSE from OBSCURE. Both mean difficult to understand.
512,hard,BELLICOSE,aggressive or warlike,WARLIKE,9,BELLICOSE from WARLIKE. Both mean aggressive.
513,hard,CAPRICIOUS,changing suddenly,FICKLE,10,CAPRICIOUS from FICKLE. Both mean unpredictable.
514,hard,DELETERIOUS,causing damage,HARMFUL,11,DELETERIOUS from HARMFUL. Both mean damaging.
515,hard,ENERVATE,to drain strength,WEAKEN,8,ENERVATE from WEAKEN. Both mean weaken.
516,hard,FASTIDIOUS,very attentive to detail,METICULOUS,10,FASTIDIOUS from METICULOUS. Both mean careful.
517,hard,GREGARIOUS,fond of company,SOCIABLE,10,GREGARIOUS from SOCIABLE. Both mean outgoing.
518,hard,HACKNEYED,overused and dull,TRITE,9,HACKNEYED from TRITE. Both mean unoriginal.
519,hard,LACONIC,using few words,TERSE,7,LACONIC from TERSE. Both mean brief in speech.
520,hard,PARSIMONIOUS,unwilling to spend,STINGY,12,PARSIMONIOUS from STINGY. Both mean miserly.
521,hard,ABSTRUSE,hard to understand,OBSCURE,8,ABSTRUSE from OBSCURE. Both mean difficult to understand.
522,hard,BELLICOSE,aggressive or warlike,WARLIKE,9,BELLICOSE from WARLIKE. Both mean aggressive.
523,hard,CAPRICIOUS,changing suddenly,FICKLE,10,CAPRICIOUS from FICKLE. Both mean unpredictable.
524,hard,DELETERIOUS,causing damage,HARMFUL,11,DELETERIOUS from HARMFUL. Both mean damaging.
525,hard,ENERVATE,to drain strength,WEAKEN,8,ENERVATE from WEAKEN. Both mean weaken.
526,hard,FASTIDIOUS,very attentive to detail,METICULOUS,10,FASTIDIOUS from METICULOUS. Both mean careful.
527,hard,GREGARIOUS,fond of company,SOCIABLE,10,GREGARIOUS from SOCIABLE. Both mean outgoing.
528,hard,HACKNEYED,overused and dull,TRITE,9,HACKNEYED from TRITE. Both mean unoriginal.
529,hard,LACONIC,using few words,TERSE,7,LACONIC from TERSE. Both mean brief in speech.
530,hard,PARSIMONIOUS,unwilling to spend,STINGY,12,PARSIMONIOUS from STINGY. Both mean miserly.
531,hard,ABSTRUSE,hard to understand,OBSCURE,8,ABSTRUSE from OBSCURE. Both mean difficult to understand.
532,hard,BELLICOSE,aggressive or warlike,WARLIKE,9,BELLICOSE from WARLIKE. Both mean aggressive.
533,hard,CAPRICIOUS,changing suddenly,FICKLE,10,CAPRICIOUS from FICKLE. Both mean unpredictable.
534,hard,DELETERIOUS,causing damage,HARMFUL,11,DELETERIOUS from HARMFUL. Both mean damaging.
535,hard,ENERVATE,to drain strength,WEAKEN,8,ENERVATE from WEAKEN. Both mean weaken.
536,hard,FASTIDIOUS,very attentive to detail,METICULOUS,10,FASTIDIOUS from METICULOUS. Both mean careful.
537,hard,GREGARIOUS,fond of company,SOCIABLE,10,GREGARIOUS from SOCIABLE. Both mean outgoing.
538,hard,HACKNEYED,overused and dull,TRITE,9,HACKNEYED from TRITE. Both mean unoriginal.
539,hard,LACONIC,using few words,TERSE,7,LACONIC from TERSE. Both mean brief in speech.
540,hard,PARSIMONIOUS,unwilling to spend,STINGY,12,PARSIMONIOUS from STINGY. Both mean miserly.
541,hard,ABSTRUSE,hard to understand,OBSCURE,8,ABSTRUSE from OBSCURE. Both mean difficult to understand.
