id,difficulty,answer,clue,source_word,answer_length,explanation
281,hard,INLET,a small water channel,PERSONALITY,5,INLET from PERSONALITY. An inlet is a channel.
282,hard,PERIL,risk,PERSONALITY,5,PERIL from PERSONALITY. Peril means risk.
283,hard,RENTAL,renting payment,PERSONALITY,6,RENTAL from PERSONALITY. Rental is a payment.
284,hard,LITANY,a long repetitive list,PERSONALITY,6,LITANY from PERSONALITY. A litany is a list.
285,hard,SPEAR,a throwing weapon,PERSONALITY,5,SPEAR from PERSONALITY. A spear is a weapon.
286,hard,ALIEN,foreign or strange,PERSONALITY,5,ALIEN from PERSONALITY. Alien means foreign.
287,hard,OPINE,to give an opinion,PERSONALITY,5,OPINE from PERSONALITY. To opine is opinion.
288,hard,LYRE,an ancient instrument,PERSONALITY,4,LYRE from PERSONALITY. A lyre is ancient.
289,hard,TOASTER,a bread appliance,PERSONALITY,7,TOASTER from PERSONALITY. A toaster toasts.
290,hard,MORTAL,subject to death,COMFORTABLE,6,MORTAL from COMFORTABLE. Mortal means can die.
291,hard,LOAFER,a lazy person,COMFORTABLE,6,LOAFER from COMFORTABLE. A loafer is lazy.
292,hard,STEAMED,steamed food,DEMONSTRATE,7,STEAMED from DEMONSTRATE. Steamed is cooked.
293,hard,MASTER,an expert person,DEMONSTRATE,6,MASTER from DEMONSTRATE. A master is skilled.
294,hard,NESTED,snugly placed,DEMONSTRATE,6,NESTED from DEMONSTRATE. Nested fits snugly.
295,hard,RECAST,to redo or remake,CATASTROPHE,6,RECAST from CATASTROPHE. Recast is to remake.
296,hard,HORNET,a wasp-like insect,THUNDERSTORM,6,HORNET from THUNDERSTORM. A hornet is like a wasp.
297,hard,PILOT,someone who flies,EXPLORATION,5,PILOT from EXPLORATION. A pilot flies planes.
298,hard,REMOTE,not nearby,DEMONSTRATE,6,REMOTE from DEMONSTRATE. Remote is far away.
299,hard,MONSTER,a scary creature,DEMONSTRATE,7,MONSTER from DEMONSTRATE. A monster scares.
300,hard,MODERN,fashionable now,DEMONSTRATE,6,MODERN from DEMONSTRATE. Modern is current.
301,easy,ALARM,a warning sound,FAMILIAR,5,ALARM from FAMILIAR. An alarm warns.
302,easy,OCEAN,a vast body of water,EDUCATION,5,OCEAN from EDUCATION. An ocean is vast.
303,easy,HERO,a brave person,TOGETHER,4,HERO from TOGETHER. A hero is brave.
304,easy,DUNE,a sand mound,SUDDENLY,4,DUNE from SUDDENLY. A dune is sand.
305,easy,DATE,a social meeting,ADEQUATE,4,DATE from ADEQUATE. A date is social.
306,easy,FAIL,to not succeed,FANATICAL,4,FAIL from FANATICAL. Fail means not succeed.
307,easy,STAR,a night sky object,RESTAURANT,4,STAR from RESTAURANT. A star shines.
308,easy,PEN,a writing instrument,TRAMPOLINE,3,PEN from TRAMPOLINE. A pen writes.
309,easy,CAT,a furry pet,CALCULATOR,3,CAT from CALCULATOR. A cat is a pet.
310,easy,TINY,not large,DICTIONARY,4,TINY from DICTIONARY. Tiny is not large.
311,medium,STERN,firm and serious,TREMENDOUS,5,STERN from TREMENDOUS. Stern is firm.
312,medium,POLITE,well-mannered,HELICOPTER,6,POLITE from HELICOPTER. Polite is mannered.
313,medium,AMBLE,to stroll,COMMENDABLE,5,AMBLE from COMMENDABLE. Amble is to stroll.
314,medium,TAINT,to contaminate,ANTICIPATE,5,TAINT from ANTICIPATE. Taint is contaminate.
315,medium,RETAIN,to hold onto,GENERATION,6,RETAIN from GENERATION. Retain is to hold.
316,medium,WRATH,intense anger,WITHDRAWN,5,WRATH from WITHDRAWN. Wrath is intense anger.
317,medium,TIARA,a decorative headpiece,DRAMATIC,5,TIARA from DRAMATIC. A tiara is decorative.
318,medium,LOFTY,imposingly tall,FORMALITY,5,LOFTY from FORMALITY. Lofty is very tall.
319,medium,FABLE,a moral story,BEAUTIFUL,5,FABLE from BEAUTIFUL. A fable teaches morals.
320,medium,PEACE,calm and quiet,PERFORMANCE,5,PEACE from PERFORMANCE. Peace is calm.
321,medium,LINEN,a cloth material,INTELLIGENCE,5,LINEN from INTELLIGENCE. Linen is cloth.
322,medium,STONE,a hard rock,DEMONSTRATE,5,STONE from DEMONSTRATE. A stone is hard.
323,medium,GRAPH,a data chart,PHOTOGRAPHY,5,GRAPH from PHOTOGRAPHY. A graph shows data.
324,medium,TRIAL,a legal hearing,PERSONALITY,5,TRIAL from PERSONALITY. A trial is legal.
325,medium,ROAST,to bake food,PERSONALITY,5,ROAST from PERSONALITY. Roast means bake.
326,medium,TRICK,a deception,ELECTRICITY,5,TRICK from ELECTRICITY. A trick deceives.
327,medium,CREATE,to produce,CELEBRATION,6,CREATE from CELEBRATION. Create means produce.
328,medium,COMBAT,armed fighting,COMFORTABLE,6,COMBAT from COMFORTABLE. Combat is fighting.
329,medium,TEMPT,to attract,TEMPERATURE,5,TEMPT from TEMPERATURE. Tempt means attract.
330,medium,GRAIN,a tiny seed,GRANDFATHER,5,GRAIN from GRANDFATHER. A grain is tiny.
331,hard,AGILE,quick and nimble,EGOTISTICAL,5,AGILE from EGOTISTICAL. Agile is quick.
332,hard,LOBBY,to seek influence,PROBABLY,5,LOBBY from PROBABLY. Lobby seeks influence.
333,hard,MITTEN,a warm glove,MENTALITY,6,MITTEN from MENTALITY. A mitten is warm.
334,hard,MIGRATE,to move countries,NIGHTMARE,7,MIGRATE from NIGHTMARE. Migrate means move.
335,hard,LISTEN,to pay attention to sound,PERSONALITY,6,LISTEN from PERSONALITY. Listen means attend.
336,hard,PLANET,a world orbiting a star,EXPLORATION,6,PLANET from EXPLORATION. A planet orbits.
337,hard,LOCATE,to find where something is,CELEBRATION,6,LOCATE from CELEBRATION. Locate means find.
338,hard,DIRECT,to lead or guide,DESTRUCTION,6,DIRECT from DESTRUCTION. Direct means lead.
339,hard,DEPICT,to show or illustrate,COMPLICATED,6,DEPICT from COMPLICATED. Depict means show.
340,hard,CONCERN,worry or anxiety,CONCENTRATE,7,CONCERN from CONCENTRATE. Concern is worry.
341,hard,PASTRY,baked flour product,PERSONALITY,6,PASTRY from PERSONALITY. Pastry is baked.
342,hard,CIDER,a drink from apples,DESTRUCTION,5,CIDER from DESTRUCTION. Cider is from apples.
343,hard,TALON,a sharp claw of a bird,EXPLORATION,5,TALON from EXPLORATION. A talon is a claw.
344,hard,TREAD,to step on,DEMONSTRATE,5,TREAD from DEMONSTRATE. Tread means step on.
345,hard,APEX,the peak or summit,APPROXIMATE,4,APEX from APPROXIMATE. Apex is the peak.
346,hard,MONSTER,a terrifying beast,DEMONSTRATE,7,MONSTER from DEMONSTRATE. Monster is terrifying.
347,hard,SEARCH,to look everywhere for,CATASTROPHE,6,SEARCH from CATASTROPHE. Search means look for.
348,hard,RODENT,a small gnawing animal,DEMONSTRATE,6,RODENT from DEMONSTRATE. A rodent gnaws.
349,hard,PATRON,a supporter who gives money,EXPLORATION,6,PATRON from EXPLORATION. A patron gives money.
350,hard,REALM,a territory or kingdom,COMFORTABLE,5,REALM from COMFORTABLE. A realm is territory.
351,hard,SAINTLY,very holy and virtuous,PERSONALITY,7,SAINTLY from PERSONALITY. Saintly is virtuous.
352,hard,POSTAL,related to postal service,PERSONALITY,6,POSTAL from PERSONALITY. Postal is mail service.
353,hard,REMOTE,distant and far,DEMONSTRATE,6,REMOTE from DEMONSTRATE. Remote is distant.
354,hard,RENAME,to rename something,DEMONSTRATE,6,RENAME from DEMONSTRATE. Rename is to re-name.
355,hard,DESERT,to walk away from,DEMONSTRATE,6,DESERT from DEMONSTRATE. Desert means walk away.
356,hard,STREET,a town road,DEMONSTRATE,6,STREET from DEMONSTRATE. Street is a road.
357,hard,ERODE,to slowly deteriorate,DEMONSTRATE,5,ERODE from DEMONSTRATE. Erode means deteriorate.
358,hard,SNARE,a device for catching animals,DEMONSTRATE,5,SNARE from DEMONSTRATE. A snare catches.
359,hard,MODERN,current and trendy,DEMONSTRATE,6,MODERN from DEMONSTRATE. Modern is trendy.
360,hard,OTTER,a river mammal,DEMONSTRATE,5,OTTER from DEMONSTRATE. An otter swims.
361,easy,ALARM,a warning signal,ARRAMGALII,5,ALARM is made from letters in ARRAMGALII (A-L-A-R-M). It is a valid word meaning a warning signal.
362,easy,ALARM,a warning signal,ERRLRAEMAE,5,ALARM is made from letters in ERRLRAEMAE (A-L-A-R-M). It is a valid word meaning a warning signal.
363,easy,ALARM,a warning signal,MRMDQAKLA,5,ALARM is made from letters in MRMDQAKLA (A-L-A-R-M). It is a valid word meaning a warning signal.
364,easy,ALARM,a warning signal,SOLMARIANR,5,ALARM is made from letters in SOLMARIANR (A-L-A-R-M). It is a valid word meaning a warning signal.
365,easy,OCEAN,a large body of water,EACEVRONA,5,OCEAN is made from letters in EACEVRONA (O-C-E-A-N). It is a valid word meaning a large body of water.
366,easy,OCEAN,a large body of water,KENOADEC,5,OCEAN is made from letters in KENOADEC (O-C-E-A-N). It is a valid word meaning a large body of water.
367,easy,OCEAN,a large body of water,NAORQECSNI,5,OCEAN is made from letters in NAORQECSNI (O-C-E-A-N). It is a valid word meaning a large body of water.
368,easy,OCEAN,a large body of water,WECOIAEMN,5,OCEAN is made from letters in WECOIAEMN (O-C-E-A-N). It is a valid word meaning a large body of water.
369,easy,HERO,a brave or admired person,DEEROEH,4,HERO is made from letters in DEEROEH (H-E-R-O). It is a valid word meaning a brave or admired person.
370,easy,HERO,a brave or admired person,EROHXEE,4,HERO is made from letters in EROHXEE (H-E-R-O). It is a valid word meaning a brave or admired person.
371,easy,HERO,a brave or admired person,HRFOEEE,4,HERO is made from letters in HRFOEEE (H-E-R-O). It is a valid word meaning a brave or admired person.
372,easy,HERO,a brave or admired person,REEEOHSI,4,HERO is made from letters in REEEOHSI (H-E-R-O). It is a valid word meaning a brave or admired person.
373,easy,DATE,a social or romantic meeting,ADOEQET,4,DATE is made from letters in ADOEQET (D-A-T-E). It is a valid word meaning a social or romantic meeting.
374,easy,DATE,a social or romantic meeting,DEARTDT,4,DATE is made from letters in DEARTDT (D-A-T-E). It is a valid word meaning a social or romantic meeting.
375,easy,DATE,a social or romantic meeting,HHEATDE,4,DATE is made from letters in HHEATDE (D-A-T-E). It is a valid word meaning a social or romantic meeting.
376,easy,DATE,a social or romantic meeting,OETEREAD,4,DATE is made from letters in OETEREAD (D-A-T-E). It is a valid word meaning a social or romantic meeting.
377,easy,FAIL,to be unsuccessful,ALFNIZFNC,4,FAIL is made from letters in ALFNIZFNC (F-A-I-L). It is a valid word meaning to be unsuccessful.
378,easy,FAIL,to be unsuccessful,EELASIF,4,FAIL is made from letters in EELASIF (F-A-I-L). It is a valid word meaning to be unsuccessful.
379,easy,FAIL,to be unsuccessful,FNAINGL,4,FAIL is made from letters in FNAINGL (F-A-I-L). It is a valid word meaning to be unsuccessful.
380,easy,FAIL,to be unsuccessful,ILORIFCRA,4,FAIL is made from letters in ILORIFCRA (F-A-I-L). It is a valid word meaning to be unsuccessful.
381,easy,LOBBY,to try to influence,BDYOBATLO,5,LOBBY is made from letters in BDYOBATLO (L-O-B-B-Y). It is a valid word meaning to try to influence.
382,easy,LOBBY,to try to influence,BLAJWOYNBS,5,LOBBY is made from letters in BLAJWOYNBS (L-O-B-B-Y). It is a valid word meaning to try to influence.
383,easy,LOBBY,to try to influence,OFYABLJBOH,5,LOBBY is made from letters in OFYABLJBOH (L-O-B-B-Y). It is a valid word meaning to try to influence.
384,easy,LOBBY,to try to influence,YYSBOAEBL,5,LOBBY is made from letters in YYSBOAEBL (L-O-B-B-Y). It is a valid word meaning to try to influence.
385,easy,RETAIN,to keep,EAREANITEE,6,RETAIN is made from letters in EAREANITEE (R-E-T-A-I-N). It is a valid word meaning to keep.
386,easy,RETAIN,to keep,EIARYCTNA,6,RETAIN is made from letters in EIARYCTNA (R-E-T-A-I-N). It is a valid word meaning to keep.
387,easy,RETAIN,to keep,SRTGIWANHEE,6,RETAIN is made from letters in SRTGIWANHEE (R-E-T-A-I-N). It is a valid word meaning to keep.
388,easy,RETAIN,to keep,TERREAIANUH,6,RETAIN is made from letters in TERREAIANUH (R-E-T-A-I-N). It is a valid word meaning to keep.
389,easy,MITTEN,a glove with two sections,IEEEESTTMDNT,6,MITTEN is made from letters in IEEEESTTMDNT (M-I-T-T-E-N). It is a valid word meaning a glove with two sections.
390,easy,MITTEN,a glove with two sections,NEEEETETIMTD,6,MITTEN is made from letters in NEEEETETIMTD (M-I-T-T-E-N). It is a valid word meaning a glove with two sections.
391,easy,MITTEN,a glove with two sections,NETATNMIE,6,MITTEN is made from letters in NETATNMIE (M-I-T-T-E-N). It is a valid word meaning a glove with two sections.
392,easy,MITTEN,a glove with two sections,RITAMDNENTO,6,MITTEN is made from letters in RITAMDNENTO (M-I-T-T-E-N). It is a valid word meaning a glove with two sections.
393,easy,POLITE,socially well-mannered,ERIGTELIOP,6,POLITE is made from letters in ERIGTELIOP (P-O-L-I-T-E). It is a valid word meaning socially well-mannered.
394,easy,POLITE,socially well-mannered,ESIEEPTOLA,6,POLITE is made from letters in ESIEEPTOLA (P-O-L-I-T-E). It is a valid word meaning socially well-mannered.
395,easy,POLITE,socially well-mannered,LITMPAEMO,6,POLITE is made from letters in LITMPAEMO (P-O-L-I-T-E). It is a valid word meaning socially well-mannered.
396,easy,POLITE,socially well-mannered,TXOELLPIEAEO,6,POLITE is made from letters in TXOELLPIEAEO (P-O-L-I-T-E). It is a valid word meaning socially well-mannered.
397,easy,STERN,serious and strict,ENESTREER,5,STERN is made from letters in ENESTREER (S-T-E-R-N). It is a valid word meaning serious and strict.
398,easy,STERN,serious and strict,SARTJNEJ,5,STERN is made from letters in SARTJNEJ (S-T-E-R-N). It is a valid word meaning serious and strict.
399,easy,STERN,serious and strict,TSNGWOSRE,5,STERN is made from letters in TSNGWOSRE (S-T-E-R-N). It is a valid word meaning serious and strict.
400,easy,STERN,serious and strict,WRETRSSNEN,5,STERN is made from letters in WRETRSSNEN (S-T-E-R-N). It is a valid word meaning serious and strict.
401,easy,AGILE,nimble and quick,AGTNEEIELU,5,AGILE is made from letters in AGTNEEIELU (A-G-I-L-E). It is a valid word meaning nimble and quick.
402,easy,AGILE,nimble and quick,CAIYEGLS,5,AGILE is made from letters in CAIYEGLS (A-G-I-L-E). It is a valid word meaning nimble and quick.
403,easy,AGILE,nimble and quick,DGNEILAA,5,AGILE is made from letters in DGNEILAA (A-G-I-L-E). It is a valid word meaning nimble and quick.
404,easy,AGILE,nimble and quick,RWLAGIEEO,5,AGILE is made from letters in RWLAGIEEO (A-G-I-L-E). It is a valid word meaning nimble and quick.
405,easy,AMBLE,to walk slowly,MBATELERET,5,AMBLE is made from letters in MBATELERET (A-M-B-L-E). It is a valid word meaning to walk slowly.
406,easy,AMBLE,to walk slowly,NMAMETBL,5,AMBLE is made from letters in NMAMETBL (A-M-B-L-E). It is a valid word meaning to walk slowly.
407,easy,AMBLE,to walk slowly,SMLBAEEEA,5,AMBLE is made from letters in SMLBAEEEA (A-M-B-L-E). It is a valid word meaning to walk slowly.
408,easy,AMBLE,to walk slowly,UEBEMAKL,5,AMBLE is made from letters in UEBEMAKL (A-M-B-L-E). It is a valid word meaning to walk slowly.
409,easy,TAINT,to spoil,DATANITTR,5,TAINT is made from letters in DATANITTR (T-A-I-N-T). It is a valid word meaning to spoil.
410,easy,TAINT,to spoil,ITNRUTRMAT,5,TAINT is made from letters in ITNRUTRMAT (T-A-I-N-T). It is a valid word meaning to spoil.
411,easy,TAINT,to spoil,RIAATYNT,5,TAINT is made from letters in RIAATYNT (T-A-I-N-T). It is a valid word meaning to spoil.
412,easy,TAINT,to spoil,TOITEEDANI,5,TAINT is made from letters in TOITEEDANI (T-A-I-N-T). It is a valid word meaning to spoil.
413,easy,DUNE,a ridge of sand,EFNDEUEKA,4,DUNE is made from letters in EFNDEUEKA (D-U-N-E). It is a valid word meaning a ridge of sand.
414,easy,DUNE,a ridge of sand,ERDAANEU,4,DUNE is made from letters in ERDAANEU (D-U-N-E). It is a valid word meaning a ridge of sand.
415,easy,DUNE,a ridge of sand,EUIDNOA,4,DUNE is made from letters in EUIDNOA (D-U-N-E). It is a valid word meaning a ridge of sand.
416,easy,DUNE,a ridge of sand,NNDEFFUT,4,DUNE is made from letters in NNDEFFUT (D-U-N-E). It is a valid word meaning a ridge of sand.
417,easy,LOFTY,very tall or elevated,EOTLAFYT,5,LOFTY is made from letters in EOTLAFYT (L-O-F-T-Y). It is a valid word meaning very tall or elevated.
418,easy,LOFTY,very tall or elevated,FILTSOYNOC,5,LOFTY is made from letters in FILTSOYNOC (L-O-F-T-Y). It is a valid word meaning very tall or elevated.
419,easy,LOFTY,very tall or elevated,NRILFTYTIO,5,LOFTY is made from letters in NRILFTYTIO (L-O-F-T-Y). It is a valid word meaning very tall or elevated.
420,easy,LOFTY,very tall or elevated,TALFEOYE,5,LOFTY is made from letters in TALFEOYE (L-O-F-T-Y). It is a valid word meaning very tall or elevated.
421,easy,CREEP,to move slowly and carefully,CREEPINPE,5,CREEP is made from letters in CREEPINPE (C-R-E-E-P). It is a valid word meaning to move slowly and carefully.
422,easy,CREEP,to move slowly and carefully,ERPCDGEE,5,CREEP is made from letters in ERPCDGEE (C-R-E-E-P). It is a valid word meaning to move slowly and carefully.
423,easy,CREEP,to move slowly and carefully,OPREECDT,5,CREEP is made from letters in OPREECDT (C-R-E-E-P). It is a valid word meaning to move slowly and carefully.
424,easy,CREEP,to move slowly and carefully,PTCRAAEEE,5,CREEP is made from letters in PTCRAAEEE (C-R-E-E-P). It is a valid word meaning to move slowly and carefully.
425,easy,QUIET,making little noise,IQTETFHIAU,5,QUIET is made from letters in IQTETFHIAU (Q-U-I-E-T). It is a valid word meaning making little noise.
426,easy,QUIET,making little noise,NSIQEEUTO,5,QUIET is made from letters in NSIQEEUTO (Q-U-I-E-T). It is a valid word meaning making little noise.
427,easy,QUIET,making little noise,UEQOAITE,5,QUIET is made from letters in UEQOAITE (Q-U-I-E-T). It is a valid word meaning making little noise.
428,easy,QUIET,making little noise,UYNEOTRYQI,5,QUIET is made from letters in UYNEOTRYQI (Q-U-I-E-T). It is a valid word meaning making little noise.
429,easy,PLAIN,simple and not decorated,ANIMAIPLE,5,PLAIN is made from letters in ANIMAIPLE (P-L-A-I-N). It is a valid word meaning simple and not decorated.
430,easy,PLAIN,simple and not decorated,NPLITANE,5,PLAIN is made from letters in NPLITANE (P-L-A-I-N). It is a valid word meaning simple and not decorated.
431,easy,PLAIN,simple and not decorated,RELSNNEPIA,5,PLAIN is made from letters in RELSNNEPIA (P-L-A-I-N). It is a valid word meaning simple and not decorated.
432,easy,PLAIN,simple and not decorated,RPFIANRL,5,PLAIN is made from letters in RPFIANRL (P-L-A-I-N). It is a valid word meaning simple and not decorated.
433,easy,BRAVE,showing courage,DVRBEBAE,5,BRAVE is made from letters in DVRBEBAE (B-R-A-V-E). It is a valid word meaning showing courage.
434,easy,BRAVE,showing courage,REVGEALEBI,5,BRAVE is made from letters in REVGEALEBI (B-R-A-V-E). It is a valid word meaning showing courage.
435,easy,BRAVE,showing courage,TVTERAJTB,5,BRAVE is made from letters in TVTERAJTB (B-R-A-V-E). It is a valid word meaning showing courage.
436,easy,BRAVE,showing courage,VAHFXAERKB,5,BRAVE is made from letters in VAHFXAERKB (B-R-A-V-E). It is a valid word meaning showing courage.
437,easy,SHINY,reflecting light,HTSIYKANEE,5,SHINY is made from letters in HTSIYKANEE (S-H-I-N-Y). It is a valid word meaning reflecting light.
438,easy,SHINY,reflecting light,NSEDSBGHYI,5,SHINY is made from letters in NSEDSBGHYI (S-H-I-N-Y). It is a valid word meaning reflecting light.
439,easy,SHINY,reflecting light,NTIFYESCHH,5,SHINY is made from letters in NTIFYESCHH (S-H-I-N-Y). It is a valid word meaning reflecting light.
440,easy,SHINY,reflecting light,XNJOHIGYS,5,SHINY is made from letters in XNJOHIGYS (S-H-I-N-Y). It is a valid word meaning reflecting light.
441,easy,SMILE,a happy facial expression,LJMIDNES,5,SMILE is made from letters in LJMIDNES (S-M-I-L-E). It is a valid word meaning a happy facial expression.
442,easy,SMILE,a happy facial expression,LOEIEMAERS,5,SMILE is made from letters in LOEIEMAERS (S-M-I-L-E). It is a valid word meaning a happy facial expression.
443,easy,SMILE,a happy facial expression,MEOSLSHGRI,5,SMILE is made from letters in MEOSLSHGRI (S-M-I-L-E). It is a valid word meaning a happy facial expression.
444,easy,SMILE,a happy facial expression,VMHISESLSI,5,SMILE is made from letters in VMHISESLSI (S-M-I-L-E). It is a valid word meaning a happy facial expression.
445,easy,BREAD,a common baked food,ARODREBDOD,5,BREAD is made from letters in ARODREBDOD (B-R-E-A-D). It is a valid word meaning a common baked food.
446,easy,BREAD,a common baked food,DERANRBFB,5,BREAD is made from letters in DERANRBFB (B-R-E-A-D). It is a valid word meaning a common baked food.
447,easy,BREAD,a common baked food,NESADXBRS,5,BREAD is made from letters in NESADXBRS (B-R-E-A-D). It is a valid word meaning a common baked food.
448,easy,BREAD,a common baked food,RADRBAER,5,BREAD is made from letters in RADRBAER (B-R-E-A-D). It is a valid word meaning a common baked food.
449,easy,CHAIR,a seat for one person,AQIABRTHC,5,CHAIR is made from letters in AQIABRTHC (C-H-A-I-R). It is a valid word meaning a seat for one person.
450,easy,CHAIR,a seat for one person,CSREAIIHS,5,CHAIR is made from letters in CSREAIIHS (C-H-A-I-R). It is a valid word meaning a seat for one person.
451,easy,CHAIR,a seat for one person,SHCRCIAW,5,CHAIR is made from letters in SHCRCIAW (C-H-A-I-R). It is a valid word meaning a seat for one person.
452,easy,CHAIR,a seat for one person,TRHAEXCI,5,CHAIR is made from letters in TRHAEXCI (C-H-A-I-R). It is a valid word meaning a seat for one person.
453,easy,STORM,violent weather,ESOTORYMN,5,STORM is made from letters in ESOTORYMN (S-T-O-R-M). It is a valid word meaning violent weather.
454,easy,STORM,violent weather,ISRIOEARMT,5,STORM is made from letters in ISRIOEARMT (S-T-O-R-M). It is a valid word meaning violent weather.
455,easy,STORM,violent weather,MNOGETEORS,5,STORM is made from letters in MNOGETEORS (S-T-O-R-M). It is a valid word meaning violent weather.
456,easy,STORM,violent weather,OADESTARKM,5,STORM is made from letters in OADESTARKM (S-T-O-R-M). It is a valid word meaning violent weather.
457,easy,DREAM,thoughts or images during sleep,AMGRDNDEAO,5,DREAM is made from letters in AMGRDNDEAO (D-R-E-A-M). It is a valid word meaning thoughts or images during sleep.
458,easy,DREAM,thoughts or images during sleep,MTAAEDRJ,5,DREAM is made from letters in MTAAEDRJ (D-R-E-A-M). It is a valid word meaning thoughts or images during sleep.
459,easy,DREAM,thoughts or images during sleep,QRADEMOONR,5,DREAM is made from letters in QRADEMOONR (D-R-E-A-M). It is a valid word meaning thoughts or images during sleep.
460,easy,DREAM,thoughts or images during sleep,RDAMOEED,5,DREAM is made from letters in RDAMOEED (D-R-E-A-M). It is a valid word meaning thoughts or images during sleep.
461,easy,PLANT,a living thing that grows in soil,DGARTPNL,5,PLANT is made from letters in DGARTPNL (P-L-A-N-T). It is a valid word meaning a living thing that grows in soil.
462,easy,PLANT,a living thing that grows in soil,FTPLLASANT,5,PLANT is made from letters in FTPLLASANT (P-L-A-N-T). It is a valid word meaning a living thing that grows in soil.
463,easy,PLANT,a living thing that grows in soil,LNAPINTP,5,PLANT is made from letters in LNAPINTP (P-L-A-N-T). It is a valid word meaning a living thing that grows in soil.
464,easy,PLANT,a living thing that grows in soil,TLARAEANP,5,PLANT is made from letters in TLARAEANP (P-L-A-N-T). It is a valid word meaning a living thing that grows in soil.
465,easy,SPARK,a tiny flash of fire,APDKTRTATS,5,SPARK is made from letters in APDKTRTATS (S-P-A-R-K). It is a valid word meaning a tiny flash of fire.
466,easy,SPARK,a tiny flash of fire,RAKCSAPGJ,5,SPARK is made from letters in RAKCSAPGJ (S-P-A-R-K). It is a valid word meaning a tiny flash of fire.
467,easy,SPARK,a tiny flash of fire,RYIANKPSCR,5,SPARK is made from letters in RYIANKPSCR (S-P-A-R-K). It is a valid word meaning a tiny flash of fire.
468,easy,SPARK,a tiny flash of fire,RYKEJOSAP,5,SPARK is made from letters in RYKEJOSAP (S-P-A-R-K). It is a valid word meaning a tiny flash of fire.
469,easy,CROWN,a royal headpiece,ARNOINCEWW,5,CROWN is made from letters in ARNOINCEWW (C-R-O-W-N). It is a valid word meaning a royal headpiece.
470,easy,CROWN,a royal headpiece,ENZCEROW,5,CROWN is made from letters in ENZCEROW (C-R-O-W-N). It is a valid word meaning a royal headpiece.
471,easy,CROWN,a royal headpiece,ROMOCHARWN,5,CROWN is made from letters in ROMOCHARWN (C-R-O-W-N). It is a valid word meaning a royal headpiece.
472,easy,CROWN,a royal headpiece,WNLCORVHJ,5,CROWN is made from letters in WNLCORVHJ (C-R-O-W-N). It is a valid word meaning a royal headpiece.
473,easy,RIVER,a large natural stream,MVRZNERI,5,RIVER is made from letters in MVRZNERI (R-I-V-E-R). It is a valid word meaning a large natural stream.
474,easy,RIVER,a large natural stream,NEUIERMRVA,5,RIVER is made from letters in NEUIERMRVA (R-I-V-E-R). It is a valid word meaning a large natural stream.
475,easy,RIVER,a large natural stream,NIVRRHLEE,5,RIVER is made from letters in NIVRRHLEE (R-I-V-E-R). It is a valid word meaning a large natural stream.
476,easy,RIVER,a large natural stream,REOIRIKV,5,RIVER is made from letters in REOIRIKV (R-I-V-E-R). It is a valid word meaning a large natural stream.
477,easy,HOUSE,a place where people live,NOSUHDRE,5,HOUSE is made from letters in NOSUHDRE (H-O-U-S-E). It is a valid word meaning a place where people live.
478,easy,HOUSE,a place where people live,UAOESHXI,5,HOUSE is made from letters in UAOESHXI (H-O-U-S-E). It is a valid word meaning a place where people live.
479,easy,HOUSE,a place where people live,UUEHROGASS,5,HOUSE is made from letters in UUEHROGASS (H-O-U-S-E). It is a valid word meaning a place where people live.
480,easy,HOUSE,a place where people live,VZRSIOHUE,5,HOUSE is made from letters in VZRSIOHUE (H-O-U-S-E). It is a valid word meaning a place where people live.
481,easy,TRAIN,a line of railway carriages,AAANROAIT,5,TRAIN is made from letters in AAANROAIT (T-R-A-I-N). It is a valid word meaning a line of railway carriages.
482,easy,TRAIN,a line of railway carriages,ARTEEINRLO,5,TRAIN is made from letters in ARTEEINRLO (T-R-A-I-N). It is a valid word meaning a line of railway carriages.
483,easy,TRAIN,a line of railway carriages,UNIATRAYJ,5,TRAIN is made from letters in UNIATRAYJ (T-R-A-I-N). It is a valid word meaning a line of railway carriages.
484,easy,TRAIN,a line of railway carriages,WGNTAURI,5,TRAIN is made from letters in WGNTAURI (T-R-A-I-N). It is a valid word meaning a line of railway carriages.
485,easy,APPLE,a round fruit,EPAVPLMZVE,5,APPLE is made from letters in EPAVPLMZVE (A-P-P-L-E). It is a valid word meaning a round fruit.
486,easy,APPLE,a round fruit,EPSEAPNL,5,APPLE is made from letters in EPSEAPNL (A-P-P-L-E). It is a valid word meaning a round fruit.
487,easy,APPLE,a round fruit,EPSPESLA,5,APPLE is made from letters in EPSPESLA (A-P-P-L-E). It is a valid word meaning a round fruit.
488,easy,APPLE,a round fruit,PRALAPENX,5,APPLE is made from letters in PRALAPENX (A-P-P-L-E). It is a valid word meaning a round fruit.
489,easy,MONEY,coins and notes used to buy things,EOMAUYCN,5,MONEY is made from letters in EOMAUYCN (M-O-N-E-Y). It is a valid word meaning coins and notes used to buy things.
490,easy,MONEY,coins and notes used to buy things,MOENTYOEAE,5,MONEY is made from letters in MOENTYOEAE (M-O-N-E-Y). It is a valid word meaning coins and notes used to buy things.
491,easy,MONEY,coins and notes used to buy things,OUQYNMEO,5,MONEY is made from letters in OUQYNMEO (M-O-N-E-Y). It is a valid word meaning coins and notes used to buy things.
492,easy,MONEY,coins and notes used to buy things,UORINEMIYO,5,MONEY is made from letters in UORINEMIYO (M-O-N-E-Y). It is a valid word meaning coins and notes used to buy things.
